SOC,SOH,Power,T,SEI_after,SEI_delta
79,1.1111,0.36842,23,1.1111004861976400E-08,48.61976401
79,1.1111,0.47368,23,1.1111005000564700E-08,50.00564701
79,1.1111,0.57895,23,1.1111005143683500E-08,51.43683501
79,1.1111,0.68421,23,1.1111005293172600E-08,52.931726
79,1.1111,0.78947,23,1.1111005448918400E-08,54.48918401
79,1.1111,0.89474,23,1.1111005609157100E-08,56.09157101
79,1.1111,1,23,1.1111005777996200E-08,57.779962
79,1.2222,-1,23,1.2221999999843400E-08,-0.001566002
79,1.2222,-0.89474,23,1.2221999999749600E-08,-0.002504008
79,1.2222,-0.78947,23,1.2222000000105500E-08,0.001055003
79,1.2222,-0.68421,23,1.2221999999850200E-08,-0.001498008
79,1.2222,-0.57895,23,1.2222000000120900E-08,0.001208991
79,1.2222,-0.47368,23,1.2222000000593100E-08,0.005931001
79,1.2222,-0.36842,23,1.2222000000683500E-08,0.006834993
79,1.2222,-0.26316,23,1.2222000000107000E-08,0.001069991
79,1.2222,-0.15789,23,1.2222000001024400E-08,0.010244003
79,1.2222,-0.052632,23,1.2221999999979300E-08,-0.000206994
79,1.2222,0.052632,23,1.2222004477089000E-08,44.77088999
79,1.2222,0.15789,23,1.2222004593608500E-08,45.93608499
79,1.2222,0.26316,23,1.2222004715150700E-08,47.151507
79,1.2222,0.36842,23,1.2222004841767800E-08,48.417678
79,1.2222,0.47368,23,1.2222004972267400E-08,49.722674
79,1.2222,0.57895,23,1.2222005108790600E-08,51.08790601
79,1.2222,0.68421,23,1.2222005249740300E-08,52.49740299
79,1.2222,0.78947,23,1.2222005396485000E-08,53.96485
79,1.2222,0.89474,23,1.2222005549103600E-08,55.491036
79,1.2222,1,23,1.2222005705583400E-08,57.055834
79,1.3333,-1,23,1.3333000000180100E-08,0.001801004
79,1.3333,-0.89474,23,1.3332999999656700E-08,-0.003432998
79,1.3333,-0.78947,23,1.3332999999403100E-08,-0.005969001
79,1.3333,-0.68421,23,1.3333000000631000E-08,0.006309998
79,1.3333,-0.57895,23,1.3333000000364400E-08,0.003644012
79,1.3333,-0.47368,23,1.3333000000291000E-08,0.002910005
79,1.3333,-0.36842,23,1.3332999999239300E-08,-0.007607001
79,1.3333,-0.26316,23,1.3333000000296800E-08,0.002968007
79,1.3333,-0.15789,23,1.3332999999799700E-08,-0.002003001
79,1.3333,-0.052632,23,1.3332999999856000E-08,-0.001439989
79,1.3333,0.052632,23,1.3333004474609400E-08,44.74609401
79,1.3333,0.15789,23,1.3333004586157700E-08,45.86157701
79,1.3333,0.26316,23,1.3333004702941000E-08,47.02941001
79,1.3333,0.36842,23,1.3333004824068500E-08,48.24068501
79,1.3333,0.47368,23,1.3333004949759700E-08,49.49759701
79,1.3333,0.57895,23,1.3333005079360000E-08,50.79360001
79,1.3333,0.68421,23,1.3333005214356500E-08,52.143565
79,1.3333,0.78947,23,1.3333005353393500E-08,53.53393501
79,1.3333,0.89474,23,1.3333005497157700E-08,54.971577
79,1.3333,1,23,1.3333005646782000E-08,56.46782
79,1.4444,-1,23,1.4444000000111700E-08,0.001116992
79,1.4444,-0.89474,23,1.4443999999399400E-08,-0.00600601
79,1.4444,-0.78947,23,1.4444000000528800E-08,0.005288
79,1.4444,-0.68421,23,1.4443999999327100E-08,-0.006728998
79,1.4444,-0.57895,23,1.4443999999625100E-08,-0.003748998
79,1.4444,-0.47368,23,1.4444000000173700E-08,0.001736997
79,1.4444,-0.36842,23,1.4443999999504500E-08,-0.004954994
79,1.4444,-0.26316,23,1.4444000000494800E-08,0.004947996
79,1.4444,-0.15789,23,1.4444000000427500E-08,0.004275002
79,1.4444,-0.052632,23,1.4443999999880900E-08,-0.001191008
79,1.4444,0.052632,23,1.4444004472640600E-08,44.72640599
79,1.4444,0.15789,23,1.4444004580580000E-08,45.80579999
79,1.4444,0.26316,23,1.4444004693460800E-08,46.934608
79,1.4444,0.36842,23,1.4444004809106200E-08,48.091062
79,1.4444,0.47368,23,1.4444004930341800E-08,49.303418
79,1.4444,0.57895,23,1.4444005054909100E-08,50.54909099
79,1.4444,0.68421,23,1.4444005183240300E-08,51.832403
79,1.4444,0.78947,23,1.4444005316507000E-08,53.16507
79,1.4444,0.89474,23,1.4444005454066300E-08,54.540663
79,1.4444,1,23,1.4444005596371700E-08,55.963717
79,1.5556,-1,23,1.5555999999585600E-08,-0.004144009
79,1.5556,-0.89474,23,1.5555999999737300E-08,-0.002626993
79,1.5556,-0.78947,23,1.5555999999758500E-08,-0.002415003
79,1.5556,-0.68421,23,1.5556000000413000E-08,0.00412998
79,1.5556,-0.57895,23,1.5555999999960700E-08,-0.00039301
79,1.5556,-0.47368,23,1.5556000000017400E-08,0.000174006
79,1.5556,-0.36842,23,1.5556000000574800E-08,0.005748012
79,1.5556,-0.26316,23,1.5555999999538300E-08,-0.004616991
79,1.5556,-0.15789,23,1.5555999999857500E-08,-0.001425001
79,1.5556,-0.052632,23,1.5555999999869100E-08,-0.001308997
79,1.5556,0.052632,23,1.5556004470890000E-08,44.70889999
79,1.5556,0.15789,23,1.5556004575983900E-08,45.75983901
79,1.5556,0.26316,23,1.5556004684457600E-08,46.844576
79,1.5556,0.36842,23,1.5556004796197600E-08,47.96197601
79,1.5556,0.47368,23,1.5556004912581800E-08,49.12581801
79,1.5556,0.57895,23,1.5556005032649600E-08,50.32649598
79,1.5556,0.68421,23,1.5556005155933600E-08,51.55933599
79,1.5556,0.78947,23,1.5556005284467600E-08,52.844676
79,1.5556,0.89474,23,1.5556005416352200E-08,54.16352201
79,1.5556,1,23,1.5556005552156000E-08,55.52156001
79,1.6667,-1,23,1.6666999999939200E-08,-0.000608011
79,1.6667,-0.89474,23,1.6666999999686400E-08,-0.003136007
79,1.6667,-0.78947,23,1.6667000000182000E-08,0.001819996
79,1.6667,-0.68421,23,1.6667000000082300E-08,0.000823012
79,1.6667,-0.57895,23,1.6667000000246100E-08,0.002460995
79,1.6667,-0.47368,23,1.6667000000049600E-08,0.000496011
79,1.6667,-0.36842,23,1.6666999999474200E-08,-0.00525799
79,1.6667,-0.26316,23,1.6667000000090000E-08,0.000900006
79,1.6667,-0.15789,23,1.6666999999691300E-08,-0.003087005
79,1.6667,-0.052632,23,1.6666999999860800E-08,-0.001392013
79,1.6667,0.052632,23,1.6667004469161700E-08,44.69161701
79,1.6667,0.15789,23,1.6667004571469800E-08,45.71469801
79,1.6667,0.26316,23,1.6667004676793800E-08,46.76793802
79,1.6667,0.36842,23,1.6667004785837100E-08,47.85837101
79,1.6667,0.47368,23,1.6667004897068100E-08,48.97068101
79,1.6667,0.57895,23,1.6667005014357400E-08,50.14357402
79,1.6667,0.68421,23,1.6667005132368600E-08,51.323686
79,1.6667,0.78947,23,1.6667005255102500E-08,52.55102499
79,1.6667,0.89474,23,1.6667005382115200E-08,53.82115199
