,SOC,SOH,Power,T,SEI_after,SEI_delta
6432,48,1.1111,0.26316,23,1.11110046739186e-08,46.73918601
6433,48,1.1111,0.36841999999999997,23,1.1111004780964699e-08,47.80964701
6434,48,1.1111,0.47368000000000005,23,1.1111004892851301e-08,48.928513
6435,48,1.1111,0.57895,23,1.11110050068131e-08,50.06813101
6436,48,1.1111,0.68421,23,1.1111005124916001e-08,51.249159999999996
6437,48,1.1111,0.78947,23,1.11110052459848e-08,52.459848
6438,48,1.1111,0.89474,23,1.11110053711139e-08,53.711139
6439,48,1.1111,1.0,23,1.11110055000596e-08,55.000595999999994
6450,48,1.2222,0.052632000000000005,23,1.2222004466330599e-08,44.66330601
6451,48,1.2222,0.15789,23,1.22220045671113e-08,45.671113
6452,48,1.2222,0.26316,23,1.22220046710148e-08,46.710148
6453,48,1.2222,0.36841999999999997,23,1.22220047784227e-08,47.78422699
6454,48,1.2222,0.47368000000000005,23,1.2222004888504e-08,48.88503999
6455,48,1.2222,0.57895,23,1.22220050022613e-08,50.022613
6456,48,1.2222,0.68421,23,1.22220051188011e-08,51.18801101
6457,48,1.2222,0.78947,23,1.22220052394059e-08,52.394059000000006
6458,48,1.2222,0.89474,23,1.22220053632716e-08,53.63271599
6459,48,1.2222,1.0,23,1.2222005489736401e-08,54.89736399
6470,48,1.3333,0.052632000000000005,23,1.33330044655572e-08,44.655572
6471,48,1.3333,0.15789,23,1.33330045655282e-08,45.65528201
6472,48,1.3333,0.26316,23,1.33330046686153e-08,46.686153000000004
6473,48,1.3333,0.36841999999999997,23,1.33330047749683e-08,47.749683000000005
6474,48,1.3333,0.47368000000000005,23,1.33330048849203e-08,48.849203
6475,48,1.3333,0.57895,23,1.3333004997078399e-08,49.97078401
6476,48,1.3333,0.68421,23,1.33330051131846e-08,51.131846
6477,48,1.3333,0.78947,23,1.33330052323246e-08,52.323246000000005
6478,48,1.3333,0.89474,23,1.33330053543111e-08,53.54311101
6479,48,1.3333,1.0,23,1.3333005480021399e-08,54.80021401
6490,48,1.4444,0.052632000000000005,23,1.44440044646858e-08,44.646858
6491,48,1.4444,0.15789,23,1.4444004564327601e-08,45.64327599
6492,48,1.4444,0.26316,23,1.44440046666581e-08,46.666581
6493,48,1.4444,0.36841999999999997,23,1.44440047715788e-08,47.715788
6494,48,1.4444,0.47368000000000005,23,1.44440048804716e-08,48.80471599
6495,48,1.4444,0.57895,23,1.44440049920863e-08,49.920863
6496,48,1.4444,0.68421,23,1.44440051067957e-08,51.06795701
6497,48,1.4444,0.78947,23,1.44440052252338e-08,52.252338
6498,48,1.4444,0.89474,23,1.44440053455993e-08,53.45599299
6499,48,1.4444,1.0,23,1.4444005470245599e-08,54.702456000000005
6510,48,1.5556,0.052632000000000005,23,1.55560044635588e-08,44.63558799
6511,48,1.5556,0.15789,23,1.5556004562213002e-08,45.62212998
6512,48,1.5556,0.26316,23,1.55560046645666e-08,46.645666
